Comparison,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs MCI,Before Scaling,NeuralNet,0.4818847818847819,0.0626782352281748,0.4936949727901026,0.07995835995003968,0.5067173913043479,0.21710500713015118,0.4496504052121404,0.24654774055578785,0.5292567889871627,0.13294751437190183
NC vs MCI,Before Scaling,KNN,0.6114552114552114,0.04880664909083198,0.6130453747780488,0.07034208307896929,0.6910724637681159,0.07163358049143054,0.4790402034006038,0.03184892703073954,0.6871842844736327,0.05119752266430897
NC vs MCI,Before Scaling,RandomForest,0.6838494838494837,0.02482650924738528,0.7424804936241557,0.018492032169960138,0.9748188405797101,0.03420748480059757,0.20614969013189258,0.06631275743789053,0.7929231570672375,0.018320857111594743
NC vs MCI,Before Scaling,SVM,0.6917415917415918,0.022599783429270104,0.751496753351435,0.03885153777281707,0.8290507246376813,0.04541965024336232,0.4641109168917845,0.07892942418720646,0.7695101486058236,0.018323614456603986
NC vs MCI,Before Scaling,LogisticRegression,0.6371961371961372,0.05880308799801981,0.6872435291570805,0.062190719586554734,0.7290072463768116,0.039348256463336145,0.48420467185761956,0.10825371571001519,0.714572348863439,0.04190431782427102
NC vs MCI,After Scaling,NeuralNet,0.5333000333000333,0.08739339814427886,0.43896041610531134,0.11476413864711446,0.6206376811594202,0.30927875224803675,0.3787382806292706,0.3957671137004371,0.5853444951815169,0.1825609099341824
NC vs MCI,After Scaling,KNN,0.5749250749250749,0.06838597838211721,0.5673104144932142,0.06509499444693843,0.6195144927536232,0.08972255524540503,0.5000715080247894,0.07782216590132489,0.6421371943604717,0.07321803240525639
NC vs MCI,After Scaling,RandomForest,0.6812853812853812,0.024480734130374618,0.7211692569613811,0.03065253165232741,0.9503188405797103,0.01788933269053326,0.24112505959002067,0.05984316167143485,0.7876150533764205,0.014441535166362747
NC vs MCI,After Scaling,SVM,0.6943722943722943,0.047579676758559626,0.7351088413166689,0.029826467984157057,0.8207028985507246,0.04600767808718633,0.4856904497060225,0.07266395596949797,0.7692883527834984,0.03710813881870587
NC vs MCI,After Scaling,LogisticRegression,0.6164835164835164,0.0454989847646424,0.6709268176971424,0.046937028547403045,0.7204927536231883,0.03941246825376752,0.44322262831717785,0.08612901172077336,0.7002378048355729,0.03395218364287283
NC vs AD,Before Scaling,NeuralNet,0.5659574468085107,0.04898240184349506,0.5070515195012153,0.08588912455527474,0.30614195334884525,0.4073391830825785,0.7321309872922777,0.29746522466357367,0.258001638001638,0.22805643621765248
NC vs AD,Before Scaling,KNN,0.6340425531914894,0.08430473513259128,0.7515387116783943,0.1112156331778228,0.08935133549987499,0.06848700872949978,0.9634632034632034,0.02989419634028998,0.1516333253949353,0.10321228958146451
NC vs AD,Before Scaling,RandomForest,0.7531914893617021,0.05124082799486082,0.9184169047676379,0.04529251011120209,0.4112717054785301,0.06722430492693211,0.9664271749755621,0.02193870227546986,0.5554967061923584,0.048543493275184015
NC vs AD,Before Scaling,SVM,0.8127659574468085,0.05507310257678633,0.933682167586429,0.0470106645701233,0.6578853623829394,0.14611784994565652,0.9221631057114928,0.08172447720351154,0.7228680897646415,0.07368892508021341
NC vs AD,Before Scaling,LogisticRegression,0.8170212765957446,0.035602554320598966,0.9112523240773255,0.05810254592344949,0.7039379939618868,0.13240778098729633,0.9030233207652563,0.07539537932091403,0.7404975753742358,0.040646847470317264
NC vs AD,After Scaling,NeuralNet,0.5361702127659574,0.10248165598972166,0.49239307801608334,0.11081789425461958,0.5002163336730573,0.4113680155155044,0.5148184611087837,0.39918916503387714,0.39002306716191704,0.19798776083274558
NC vs AD,After Scaling,KNN,0.6468085106382979,0.06828428313140941,0.7119742323404193,0.06860260652007381,0.10239865969271005,0.10371767262809861,0.9807359307359308,0.027807746057586312,0.16464052287581699,0.1538144028362933
NC vs AD,After Scaling,RandomForest,0.7999999999999998,0.03226755508107042,0.9074241093862,0.049558552217324824,0.5087629559833087,0.08641569838122683,0.9722727272727273,0.02852551899895564,0.6514892514892514,0.07290376537403745
