Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,Accuracy_95CI_Low,Accuracy_95CI_High,AUC_Mean,AUC_Std,AUC_95CI_Low,AUC_95CI_High,Sensitivity_Mean,Sensitivity_Std,Sensitivity_95CI_Low,Sensitivity_95CI_High,Specificity_Mean,Specificity_Std,Specificity_95CI_Low,Specificity_95CI_High,F1-score_Mean,F1-score_Std,F1-score_95CI_Low,F1-score_95CI_High,Mean_TP,Mean_TN,Mean_FP,Mean_FN
NC vs MCI,50,Before Scaling,NeuralNet,0.5168674698795181,0.07345940328442874,0.42565557349171146,0.6080793662673248,0.48452690744008364,0.07032888462513956,0.3972020633672214,0.5718517515129459,0.3995968888498296,0.25644758459289235,0.08117515563452021,0.718018622065139,0.6001862564623697,0.2686803275436676,0.2665755667258018,0.9337969461989375,0.3498741545123381,0.18675837948666577,0.1179829983408684,0.5817653106838079,25.6,60.2,40.6,39.6
NC vs MCI,50,Before Scaling,KNN,0.6493975903614457,0.049566270917407715,0.5878529362380862,0.7109422444848053,0.6877829752780029,0.04889866224429938,0.6270672668089305,0.7484986837470753,0.25952412916158807,0.04695572625115077,0.20122089436602264,0.3178273639571535,0.9029747807930875,0.05523067747513977,0.8343968369758027,0.9715527246103722,0.36781496949929104,0.06369083200628409,0.2887323563814439,0.4468975826171382,16.8,91.0,9.8,48.4
NC vs MCI,50,Before Scaling,RandomForest,0.7144578313253013,0.018858404629516313,0.6910420292332716,0.7378736334173309,0.749351098747003,0.018260259663264573,0.7266779917252749,0.7720242057687311,0.4483997755554169,0.04464515974592322,0.392965488004848,0.5038340631059858,0.8881155119085301,0.04416310955099023,0.8332797687303366,0.9429512550867236,0.5510756914691509,0.039056402716511396,0.5025807623167109,0.5995706206215909,29.2,89.4,11.4,36.0
NC vs MCI,50,Before Scaling,LR (L1),0.7,0.0471267643749589,0.6414843933237817,0.7585156066762182,0.7540917204606765,0.03564961574590652,0.7098268760391863,0.7983565648821668,0.696062586172155,0.030316455964013254,0.6584197342485099,0.7337054380958001,0.704601239164598,0.06974772373122498,0.6179980016508735,0.7912044766783226,0.6459437597965073,0.054566792970696186,0.5781901374673555,0.7136973821256591,45.4,70.8,30.0,19.8
NC vs MCI,50,Before Scaling,LR (L2),0.6831325301204819,0.0603312576315869,0.6082213795529843,0.7580436806879796,0.7490230824293682,0.0409881737351459,0.6981295427503164,0.7999166221084201,0.6878472422993989,0.05137662860584734,0.6240547322104325,0.7516397523883652,0.6806402271755487,0.06604817834133699,0.5986305819821688,0.7626498723689287,0.6303752495975533,0.07521146641023987,0.5369878795038466,0.72376261969126,45.0,68.4,32.4,20.2
NC vs MCI,50,Before Scaling,LR (ElasticNet),0.7036144578313251,0.055604726550430465,0.6345720707436905,0.7726568449189598,0.7520105833641326,0.04000993201348961,0.7023316912124022,0.801689475515863,0.6700194979044903,0.046437347281096324,0.6123599156134675,0.7276790801955132,0.7262779374281573,0.06652848941102589,0.643671907271606,0.8088839675847086,0.6397303762517337,0.07173400410614053,0.5506608459061378,0.7287999065973295,43.8,73.0,27.8,21.4
NC vs MCI,50,Before Scaling,SVM (Linear),0.6855421686746987,0.04203938872859734,0.6333433731839062,0.7377409641654913,0.7448426108317487,0.03505881717030634,0.7013113397317713,0.7883738819317262,0.6590996269204276,0.0369488640206685,0.613221552691437,0.7049777011494182,0.704269417650946,0.06358276768838632,0.6253209841061229,0.783217851195769,0.6220946187662468,0.05145744110067911,0.5582017667118427,0.6859874708206509,43.0,70.8,30.0,22.2
NC vs MCI,50,Before Scaling,SVM (RBF),0.727710843373494,0.017250386823224537,0.7062916591000075,0.7491300276469806,0.7543844017489365,0.021585811460426985,0.7275820767865101,0.7811867267113629,0.5297063048996706,0.2175082694028239,0.25963411747057835,0.799778492328763,0.8490515781787085,0.11470355562142798,0.7066283026976181,0.9914748536597988,0.5828751584981602,0.12263378652620882,0.43060520080516057,0.7351451161911597,35.0,85.8,15.0,30.2
NC vs MCI,50,Before Scaling,SVM (Poly d2),0.6048192771084338,0.02112732279126528,0.5785862410200897,0.6310523131967778,0.6238714945573264,0.059776165625744525,0.5496495817491739,0.6980934073654789,0.0569080636877247,0.11108806614647719,-0.08102598867643465,0.19484211605188403,0.9642718068535826,0.07420478895084527,0.8721343919190094,1.0564092217881558,0.07698209718670077,0.14156420309329096,-0.09879307722864489,0.2527572716020464,3.4,97.0,3.8,61.8
NC vs MCI,50,Before Scaling,SVM (Sigmoid),0.719277108433735,0.03752388313830706,0.6726850536680938,0.7658691631993763,0.7531570590627898,0.025850204701564575,0.7210597905386593,0.7852543275869204,0.6179460117418629,0.0439355373958693,0.5633928367156767,0.6724991867680491,0.7848612110661314,0.040200609584427366,0.7349455614393027,0.8347768606929601,0.6328536140350116,0.059877449276982325,0.5585059409635105,0.7072012871065128,40.4,79.0,21.8,24.8
